x,y,v,angle
2.1,197.95000000000002,20.0,0.0
4.1,197.95000000000002,20.0,0.0
6.1,197.95000000000002,20.0,0.0
8.1,197.95000000000002,20.0,0.0
10.1,197.95000000000002,20.0,0.0
12.099999999999998,197.95000000000002,20.0,0.0
14.1,197.95000000000002,20.0,0.0
16.1,197.95000000000002,20.0,0.0
18.1,197.95000000000002,20.0,0.0
20.1,197.95000000000002,20.0,0.0
22.1,197.95000000000002,20.0,0.0
24.099999999999998,197.95000000000002,20.0,0.0
26.1,197.95000000000002,20.0,0.0
28.1,197.95000000000002,20.0,0.0
30.1,197.95000000000002,20.0,0.0
32.1,197.95000000000002,20.0,0.0
34.1,197.95000000000002,20.0,0.0
36.1,197.95000000000002,20.0,0.0
38.1,197.95000000000002,20.0,0.0
40.1,197.95000000000002,20.0,0.0
42.1,197.95000000000002,20.0,0.0
44.1,197.95000000000002,20.0,0.0
46.1,197.95000000000002,20.0,0.0
48.1,197.95000000000002,20.0,0.0
50.1,197.95000000000002,20.0,0.0
52.1,197.95000000000002,20.0,0.0
54.1,197.95000000000002,20.0,0.0
56.1,197.95000000000002,20.0,0.0
58.1,197.95000000000002,20.0,0.0
60.1,197.95000000000002,20.0,0.0
62.10000000000001,197.95000000000002,20.0,0.0
64.1,197.95000000000002,20.0,0.0
66.1,197.95000000000002,20.0,0.0
68.1,197.95000000000002,20.0,0.0
70.1,197.95000000000002,20.0,0.0
72.1,197.95000000000002,20.0,0.0
74.1,197.95000000000002,20.0,0.0
76.1,197.95000000000002,20.0,0.0
78.1,197.95000000000002,20.0,0.0
80.1,197.95000000000002,20.0,0.0
82.1,197.95000000000002,20.0,0.0
84.1,197.95000000000002,20.0,0.0
86.1,197.95000000000002,20.0,0.0
88.1,197.95000000000002,20.0,0.0
90.1,197.95000000000002,20.0,0.0
92.1,197.95000000000002,20.0,0.0
94.1,197.95000000000002,20.0,0.0
96.1,197.95000000000002,20.0,0.0
98.1,197.95000000000002,20.0,0.0
100.10000000000001,197.95000000000002,20.0,0.0
102.1,197.95000000000002,20.0,0.0
104.10000000000001,197.95000000000002,20.0,0.0
106.1,197.95000000000002,20.0,0.0
108.09999999999998,197.95000000000002,20.0,0.0
110.1,197.95000000000002,20.0,0.0
112.09999999999998,197.95000000000002,20.0,0.0
114.1,197.95000000000002,20.0,0.0
116.1,197.95000000000002,20.0,0.0
118.1,197.95000000000002,20.0,0.0
120.1,197.95000000000002,20.0,0.0
122.1,197.95000000000002,20.0,0.0
124.1,197.95000000000002,20.0,0.0
126.10000000000001,197.95000000000002,20.0,0.0
128.1,197.95000000000002,20.0,0.0
130.1,197.95000000000002,20.0,0.0
132.06777966101694,197.95000000000002,19.67779661016949,0.0
134.00176621858563,197.95000000000002,19.339865575686737,0.0
135.90206856562799,197.95000000000002,19.003023470423575,0.0
137.7687994840989,197.95000000000002,18.66730918470929,0.0
139.6020758571153,197.95000000000002,18.332763730163833,0.0
141.40201889679835,197.95000000000002,17.9994303968305,0.0
143.16862965796875,197.95000000000002,17.66610761170401,0.0
144.90203287196934,197.95000000000002,17.334032140005892,0.0
146.602359162893,197.95000000000002,17.003262909236664,0.0
148.2697442773461,197.95000000000002,16.673851144530783,0.0
149.90432939179917,197.95000000000002,16.34585114453078,0.0
151.50622280396317,197.95000000000002,16.018934121640164,0.0
153.0754631549027,197.95000000000002,15.692403509395271,0.0
154.61220350584225,197.95000000000002,15.36740350939527,0.0
156.11660343124987,197.95000000000002,15.043999254076118,0.0
157.588829443614,197.95000000000002,14.722260123641332,0.0
159.02905054266589,197.95000000000002,14.402210990518695,0.0
160.43727164171776,197.95000000000002,14.082210990518693,0.0
161.81367455895145,197.95000000000002,13.764029172336873,0.0
163.1584495692084,197.95000000000002,13.44775010256943,0.0
164.47179600803676,197.95000000000002,13.133464388283718,0.0
165.7538722935597,197.95000000000002,12.820762855229342,0.0
167.00472906688753,197.95000000000002,12.508567733278118,0.0
168.22458584021535,197.95000000000002,12.198567733278114,0.0
169.41367338277394,197.95000000000002,11.890875425585804,0.0
170.57223460954305,197.95000000000002,11.585612267691067,0.0
171.70030738297612,197.95000000000002,11.280727734330775,0.0
172.79810988613892,197.95000000000002,10.978025031628073,0.0
173.8659123893017,197.95000000000002,10.678025031628076,0.0
174.90400060675023,197.95000000000002,10.380882174485222,0.0
175.9124291608431,197.95000000000002,10.084285540928503,0.0
176.89144595023006,197.95000000000002,9.790167893869679,0.0
177.84137183052613,197.95000000000002,9.499258802960584,0.0
178.76251207808593,197.95000000000002,9.211402475598142,0.0
179.65490232564574,197.95000000000002,8.923902475598144,0.0
180.51890547643137,197.95000000000002,8.64003150785621,0.0
181.354908627217,197.95000000000002,8.360031507856206,0.0
182.16304500630974,197.95000000000002,8.08136379092767,0.0
182.94359517850597,197.95000000000002,7.805501721962155,0.0
183.69700249355932,197.95000000000002,7.53407315053358,0.0
184.42350240450364,197.95000000000002,7.264999109443097,0.0
185.12333564878128,197.95000000000002,6.998332442776428,0.0
185.79701504690507,197.95000000000002,6.736793981237968,0.0
186.4447836989472,197.95000000000002,6.477686520421123,0.0
187.0669523509893,197.95000000000002,6.221686520421121,0.0
187.66412100303143,197.95000000000002,5.971686520421119,0.0
188.23640762790512,197.95000000000002,5.722866248736904,0.0
188.78434642669185,197.95000000000002,5.4793879878673355,0.0
189.3084617994444,197.95000000000002,5.241153727525278,0.0
189.80894080856055,197.95000000000002,5.004790091161639,0.0
190.28656267481958,197.95000000000002,4.776218662590211,0.0
190.74144064268532,197.95000000000002,4.548779678657341,0.0
191.17431861055104,197.95000000000002,4.328779678657337,0.0
191.58555268002348,197.95000000000002,4.112340694724477,0.0
191.97518069785002,197.9643982090789,3.901814378935006,0.007200972686260655
192.34351269023804,197.99857334239323,3.696455727412117,0.02430457718965283
192.6919157550506,198.03089939995314,3.496455727412117,0.04049054485540199
193.0209630940402,198.0614295654264,3.302208187000333,0.05577643920119191
193.36993936060531,198.0938088066541,3.502208187000333,0.07197911540328276
193.73884455474592,198.1280371236362,3.702208187000333,0.08908775580237945
194.1140637423281,198.23483451588487,3.9022081870003333,0.12844094995966826
194.4501176144555,198.33433650036952,3.5022081870003334,0.16268570012110312
194.80536245720396,198.439520727552,3.7022081870003336,0.19895465884427344
195.12222535871032,198.5333404693388,3.3022081870003337,0.2312884494939998
195.45827923083772,198.63284245382346,3.502208187000334,0.26548541590134933
195.73919834855693,198.7616780240544,3.102208187000334,0.30978504511268135
196.03028647441354,198.9181131393107,3.302208187000334,0.34365441110040396
196.33900450785762,199.0840228307534,3.5022081870003343,0.3796912202019116
196.66535244888917,199.2594070983826,3.7022081870003345,0.4178145654225614
197.00933029750811,199.44426594219826,3.9022081870003347,0.45790950590158785
197.34743936999277,199.67286614166065,4.102208187000334,0.5138120228475063
197.67771081867838,199.94809234889863,4.302208187000335,0.5571363816624202
198.02333584554194,200.23611320461828,4.502208187000335,0.6026491354293007
198.38431445058353,200.5369287088196,4.702208187000335,0.6501734822953269
198.75486111111113,200.85486111111112,4.902208187000335,0.6982558182560628
199.10208333333335,201.20208333333335,5.0,0.7206508514526149
199.42989951393042,201.57587941671648,5.0,0.7597582847253537
199.76290159538948,201.97548191446737,5.2,0.807256659655018
200.10871144921236,202.39045373905483,5.4,0.8500744704815916
200.46285056902792,202.82382408864726,5.6000000000000005,0.8778146356592881
200.7382852135708,203.33446135100206,5.800000000000001,0.9366754252382015
201.02321760447725,203.86270679481737,6.000000000000001,0.9968753396963006
201.31764774174724,204.4085604200932,6.200000000000001,1.0589192062640571
201.50839045927117,205.01871494734982,6.400000000000001,1.1373155873453804
201.69582815282578,205.65175923312856,6.600000000000001,1.2057722842464227
201.87616520233573,206.3064471807294,6.800000000000002,1.2825195768511009
201.9408565145978,207.0036757684431,7.000000000000002,1.3577495688775412
202.0073961500674,207.72082517294857,7.200000000000002,1.428258750994318
202.05,208.459,7.400000000000002,1.4911690873455266
202.05,209.21900000000002,7.600000000000002,1.5263350441434924
202.05,209.99900000000002,7.8000000000000025,1.5624298616896855
202.05,210.799,8.000000000000002,1.5707963267948966
202.05,211.619,8.200000000000001,1.5707963267948966
202.05,212.459,8.4,1.5707963267948966
202.05,213.31900000000002,8.6,1.5707963267948966
202.05,214.199,8.799999999999999,1.5707963267948966
202.05,215.09900000000002,8.999999999999998,1.5707963267948966
202.05,216.019,9.199999999999998,1.5707963267948966
202.05,216.959,9.399999999999997,1.5707963267948966
202.05,217.919,9.599999999999996,1.5707963267948966
202.05,218.899,9.799999999999995,1.5707963267948966
202.05,219.899,9.999999999999995,1.5707963267948966
202.05,220.919,10.199999999999994,1.5707963267948966
202.05,221.959,10.399999999999993,1.5707963267948966
202.05,223.019,10.599999999999993,1.5707963267948966
202.05,224.099,10.799999999999992,1.5707963267948966
202.05,225.199,10.999999999999991,1.5707963267948966
202.05,226.319,11.19999999999999,1.5707963267948966
202.05,227.459,11.39999999999999,1.5707963267948966
202.05,228.619,11.599999999999989,1.5707963267948966
202.05,229.799,11.799999999999988,1.5707963267948966
202.05,230.999,11.999999999999988,1.5707963267948966
202.05,232.219,12.199999999999987,1.5707963267948966
202.05,233.459,12.399999999999986,1.5707963267948966
202.05,234.719,12.599999999999985,1.5707963267948966
202.05,235.999,12.799999999999985,1.5707963267948966
202.05,237.29899999999998,12.999999999999984,1.5707963267948966
202.05,238.61899999999997,13.199999999999983,1.5707963267948966
202.05,239.95899999999997,13.399999999999983,1.5707963267948966
202.05,241.319,13.599999999999982,1.5707963267948966
202.05,242.69899999999998,13.799999999999981,1.5707963267948966
202.05,244.099,13.99999999999998,1.5707963267948966
202.05,245.51899999999998,14.19999999999998,1.5707963267948966
202.05,246.95899999999997,14.399999999999979,1.5707963267948966
202.05,248.41899999999998,14.599999999999978,1.5707963267948966
202.05,249.89899999999997,14.799999999999978,1.5707963267948966
202.05,251.39899999999997,14.999999999999977,1.5707963267948966
202.05,252.91899999999998,15.199999999999976,1.5707963267948966
202.05,254.45899999999997,15.399999999999975,1.5707963267948966
202.05,256.01899999999995,15.599999999999975,1.5707963267948966
202.05,257.59899999999993,15.799999999999974,1.5707963267948966
202.05,259.19899999999996,15.999999999999973,1.5707963267948966
202.05,260.81899999999996,16.199999999999974,1.5707963267948966
202.05,262.45899999999995,16.399999999999974,1.5707963267948966
202.05,264.11899999999997,16.599999999999973,1.5707963267948966
202.05,265.799,16.799999999999972,1.5707963267948966
202.05,267.49899999999997,16.99999999999997,1.5707963267948966
202.05,269.21899999999994,17.19999999999997,1.5707963267948966
202.05,270.95899999999995,17.39999999999997,1.5707963267948966
202.05,272.71899999999994,17.59999999999997,1.5707963267948966
202.05,274.4989999999999,17.79999999999997,1.5707963267948966
202.05,276.2989999999999,17.999999999999968,1.5707963267948966
202.05,278.1189999999999,18.199999999999967,1.5707963267948966
202.05,279.95899999999995,18.399999999999967,1.5707963267948966
202.05,281.81899999999996,18.599999999999966,1.5707963267948966
202.05,283.69899999999996,18.799999999999965,1.5707963267948966
202.05,285.59899999999993,18.999999999999964,1.5707963267948966
202.05,287.5189999999999,19.199999999999964,1.5707963267948966
202.05,289.45899999999995,19.399999999999963,1.5707963267948966
202.05,291.4189999999999,19.599999999999962,1.5707963267948966
202.05,293.3989999999999,19.79999999999996,1.5707963267948966
202.05,295.3989999999999,19.99999999999996,1.5707963267948966
202.05,297.3989999999999,20.0,1.5707963267948966
202.05,299.3989999999999,20.0,1.5707963267948966
202.05,301.3989999999999,20.0,1.5707963267948966
202.05,303.3989999999999,20.0,1.5707963267948966
202.05,305.3989999999999,20.0,1.5707963267948966
202.05,307.3989999999999,20.0,1.5707963267948966
202.05,309.3989999999999,20.0,1.5707963267948966
202.05,311.3989999999999,20.0,1.5707963267948966
202.05,313.3989999999999,20.0,1.5707963267948966
202.05,315.3989999999999,20.0,1.5707963267948966
202.05,317.3989999999999,20.0,1.5707963267948966
202.05,319.3989999999999,20.0,1.5707963267948966
202.05,321.3989999999999,20.0,1.5707963267948966
202.05,323.3989999999999,20.0,1.5707963267948966
202.05,325.3989999999999,20.0,1.5707963267948966
202.05,327.3989999999999,20.0,1.5707963267948966
202.05,329.3989999999999,20.0,1.5707963267948966
202.05,331.3989999999999,20.0,1.5707963267948966
202.05,333.3989999999999,20.0,1.5707963267948966
202.05,335.3989999999999,20.0,1.5707963267948966
202.05,337.3989999999999,20.0,1.5707963267948966
202.05,339.3989999999999,20.0,1.5707963267948966
202.05,341.3989999999999,20.0,1.5707963267948966
202.05,343.3989999999999,20.0,1.5707963267948966
